Symbol,Security Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E Ratio,EPS(TTM),EPS Growth,Div Yield,Sector,Analyst Rating
ACCO,Acco Brands Corporation,3.46 USD,−5.21%,1.06 M,1.46,311.74 M USD,—,−1.12 USD,−332.24%,8.67%,Producer manufacturing,Strong buy
ACCS,ACCESS Newswire Inc.,10.50 USD,+13.39%,6.1 K,0.86,40.4 M USD,—,−1.38 USD,−779.01%,0.00%,Technology services,Strong buy
ACDC,ProFrac Holding Corp.,6.48 USD,−2.85%,963.84 K,0.75,1.04 B USD,—,−1.49 USD,−76.84%,0.00%,Industrial services,Sell
ACEL,"Accel Entertainment, Inc.",11.22 USD,+0.18%,197.7 K,0.71,949.68 M USD,22.65,0.50 USD,−2.27%,0.00%,Consumer services,Strong buy
ACET,"Adicet Bio, Inc.",0.6936 USD,−3.49%,500.34 K,0.47,57.37 M USD,—,−1.29 USD,+56.29%,0.00%,Health technology,Buy
ACGL,Arch Capital Group Ltd.,92.07 USD,+0.11%,977.02 K,0.71,34.5 B USD,9.44,9.75 USD,−22.99%,0.00%,Finance,Buy
ACHC,"Acadia Healthcare Company, Inc.",22.53 USD,−1.87%,1.53 M,0.55,2.08 B USD,11.06,2.04 USD,—,0.00%,Health services,Buy
ACHR,Archer Aviation Inc.,10.59 USD,−0.09%,20.05 M,0.44,5.81 B USD,—,−1.24 USD,+24.35%,0.00%,Electronic technology,Buy
ACHV,"Achieve Life Sciences, Inc.",3.04 USD,+2.36%,112.5 K,0.43,105.44 M USD,—,−1.34 USD,−4.03%,0.00%,Health technology,Strong buy
ACI,"Albertsons Companies, Inc.",22.10 USD,+1.24%,2.33 M,0.52,12.72 B USD,13.45,1.64 USD,−26.29%,2.44%,Retail trade,Buy
ACIC,American Coastal Insurance Corporation,10.85 USD,−1.09%,131.26 K,0.46,524.63 M USD,7.16,1.52 USD,+5.25%,0.00%,Finance,Buy
ACIU,AC Immune SA,1.69 USD,−0.29%,69 K,0.55,167.21 M USD,—,−0.58 USD,+15.46%,0.00%,Health technology,Strong buy
ACIW,"ACI Worldwide, Inc.",46.29 USD,−0.39%,1.01 M,0.88,4.86 B USD,18.25,2.54 USD,+89.75%,0.00%,Technology services,Buy
ACLS,"Axcelis Technologies, Inc.",58.32 USD,−1.24%,326.44 K,0.68,1.87 B USD,10.68,5.46 USD,−27.81%,0.00%,Producer manufacturing,Buy
ACLX,"Arcellx, Inc.",63.92 USD,−1.98%,1.08 M,0.97,3.52 B USD,—,−2.98 USD,−180.15%,0.00%,Health technology,Strong buy
ACM,AECOM,107.60 USD,+0.21%,537.05 K,0.74,14.24 B USD,23.47,4.58 USD,—,0.89%,Industrial services,Buy
ACMR,"ACM Research, Inc.",22.41 USD,−0.58%,634.22 K,0.51,1.43 B USD,14.33,1.56 USD,+19.16%,0.00%,Producer manufacturing,Strong buy
ACN,Accenture plc,309.58 USD,−2.17%,2.95 M,1.04,193.81 B USD,25.55,12.12 USD,+9.85%,1.85%,Technology services,Buy
ACNB,ACNB Corporation,41.98 USD,−1.18%,26.92 K,1.42,439.69 M USD,14.44,2.91 USD,−15.76%,3.05%,Finance,Strong buy
ACNT,Ascent Industries Co.,12.49 USD,−0.48%,36.15 K,0.24,131.26 M USD,—,−1.03 USD,+61.59%,0.00%,Non-energy minerals,—
ACOG,Alpha Cognition Inc.,9.14 USD,+5.18%,192.14 K,0.90,146.42 M USD,—,−1.29 USD,+66.85%,0.00%,Finance,Strong buy
ACON,"Aclarion, Inc.",6.70 USD,−4.01%,19.71 K,1.21,3.9 M USD,—,"−4,281.00 USD",+92.91%,0.00%,Technology services,—
ACRS,"Aclaris Therapeutics, Inc.",1.26 USD,0.00%,404.73 K,0.81,136.43 M USD,—,−1.40 USD,−27.98%,0.00%,Health technology,Strong buy
ACRV,"Acrivon Therapeutics, Inc.",1.17 USD,+1.74%,431.66 K,0.51,36.69 M USD,—,−2.22 USD,+22.94%,0.00%,Health technology,Strong buy
ACT,"Enact Holdings, Inc.",35.17 USD,−0.45%,288.75 K,0.63,5.28 B USD,7.91,4.45 USD,+10.10%,2.10%,Finance,Buy
ACTG,Acacia Research Corporation,3.74 USD,+1.91%,178.55 K,0.63,359.68 M USD,—,−0.11 USD,−138.25%,0.00%,Commercial services,Strong buy
ACTU,"Actuate Therapeutics, Inc.",10.33 USD,+2.28%,46.72 K,0.85,202.67 M USD,—,−1.30 USD,—,0.00%,Health technology,Strong buy
ACU,Acme,38.89 USD,+0.70%,7.55 K,0.55,147.42 M USD,15.88,2.45 USD,−48.89%,1.54%,Distribution services,Strong buy
ACVA,ACV Auctions Inc.,16.52 USD,−1.43%,1.48 M,0.80,2.83 B USD,—,−0.45 USD,+7.44%,0.00%,Retail trade,Strong buy
ACXP,"Acurx Pharmaceuticals, Inc.",0.4000 USD,+0.45%,109.52 K,0.40,9.39 M USD,—,−0.70 USD,+40.64%,0.00%,Health technology,Strong buy
ADBE,Adobe Inc.,407.69 USD,−1.60%,2.09 M,0.74,173.76 B USD,26.85,15.18 USD,+45.04%,0.00%,Technology services,Buy
ADCT,ADC Therapeutics SA,2.43 USD,+8.97%,940.84 K,1.14,241 M USD,—,−1.45 USD,+47.31%,0.00%,Health technology,Strong buy
ADD,"Color Star Technology Co., Ltd.",0.9000 USD,+1.96%,219.68 K,0.72,20.73 M USD,—,—,—,0.00%,Technology services,—
ADEA,Adeia Inc.,12.65 USD,−2.69%,463.58 K,1.08,1.37 B USD,18.97,0.67 USD,+91.80%,1.58%,Technology services,Strong buy
ADGM,"Adagio Medical Holdings, Inc",1.19 USD,+3.48%,41.45 K,0.51,18.3 M USD,—,−11.04 USD,−4.40%,0.00%,Health technology,—
ADI,"Analog Devices, Inc.",210.47 USD,−0.69%,4.85 M,1.05,104.45 B USD,57.30,3.67 USD,−14.01%,1.78%,Electronic technology,Buy
ADIL,"Adial Pharmaceuticals, Inc",0.6898 USD,−4.06%,96.96 K,0.61,5.45 M USD,—,−1.62 USD,+72.39%,0.00%,Health technology,Strong buy
ADM,Archer-Daniels-Midland Company,47.94 USD,−0.04%,1.67 M,—,23.03 B USD,17.09,2.81 USD,−50.79%,4.19%,Process industries,Neutral
ADMA,ADMA Biologics Inc,20.42 USD,+1.29%,1.32 M,0.42,4.87 B USD,24.19,0.84 USD,—,0.00%,Health technology,Buy
ADN,"Advent Technologies Holdings, Inc.",2.36 USD,+0.43%,9.68 K,0.35,6.22 M USD,—,−24.90 USD,+52.75%,0.00%,Electronic technology,—
ADNT,Adient plc,14.73 USD,−1.80%,1.17 M,0.74,1.24 B USD,—,−3.20 USD,−295.84%,0.00%,Producer manufacturing,Neutral
ADP,"Automatic Data Processing, Inc.",321.09 USD,−0.17%,962.54 K,0.70,130.34 B USD,32.87,9.77 USD,+9.06%,1.83%,Technology services,Neutral
ADPT,Adaptive Biotechnologies Corporation,8.93 USD,+1.02%,1.01 M,0.86,1.36 B USD,—,−0.96 USD,+35.36%,0.00%,Health technology,Strong buy
ADSE,ADS-TEC ENERGY PLC,12.95 USD,+8.19%,77.56 K,1.09,710.18 M USD,—,−2.07 USD,−69.94%,0.00%,Producer manufacturing,Neutral
ADSK,"Autodesk, Inc.",295.35 USD,+0.12%,3.2 M,2.01,63.19 B USD,63.34,4.66 USD,+1.04%,0.00%,Technology services,Buy
ADT,ADT Inc.,8.22 USD,+0.86%,20.75 M,1.01,6.43 B USD,14.06,0.58 USD,−14.77%,2.68%,Commercial services,Buy
ADTN,"ADTRAN Holdings, Inc.",7.80 USD,−0.89%,446.69 K,0.58,623.83 M USD,—,−1.72 USD,+75.30%,0.00%,Electronic technology,Buy
ADTX,"Aditxt, Inc.",1.74 USD,−4.40%,40.92 K,0.43,3.69 M USD,—,"−69,702.52 USD",+93.24%,0.00%,Health technology,—
ADUS,Addus HomeCare Corporation,112.16 USD,+0.56%,181.56 K,1.20,2.06 B USD,25.34,4.43 USD,+9.97%,0.00%,Health services,Strong buy
ADV,Advantage Solutions Inc.,1.12 USD,−3.45%,317.62 K,0.42,363.23 M USD,—,−1.29 USD,−428.62%,0.00%,Commercial services,Buy
ADVB,Advanced Biomed Inc.,1.14 USD,−4.20%,27.28 K,0.26,24.67 M USD,—,—,—,0.00%,Health technology,—
ADVM,"Adverum Biotechnologies, Inc.",2.21 USD,−0.90%,212.6 K,0.41,46.17 M USD,—,−6.39 USD,+37.54%,0.00%,Health technology,Strong buy
AEE,Ameren Corporation,96.30 USD,+0.94%,1.45 M,0.79,26.64 B USD,21.36,4.51 USD,+3.65%,2.82%,Utilities,Buy
AEHL,Antelope Enterprise Holdings Limited,2.31 USD,+0.22%,56.17 K,0.20,7.88 M USD,—,−42.43 USD,+71.98%,0.00%,Producer manufacturing,—
AEHR,Aehr Test Systems,8.85 USD,+0.23%,371.23 K,0.86,263.48 M USD,11.40,0.78 USD,+49.83%,0.00%,Electronic technology,Buy
AEI,Alset Inc.,0.9050 USD,−2.69%,224.19 K,1.70,10.62 M USD,—,−0.48 USD,+92.91%,0.00%,Finance,—
AEIS,"Advanced Energy Industries, Inc.",113.87 USD,−1.79%,169.74 K,0.60,4.29 B USD,58.84,1.94 USD,−28.81%,0.35%,Electronic technology,Buy
AEMD,"Aethlon Medical, Inc.",0.3979 USD,−0.28%,159.98 K,0.71,6.4 M USD,—,−1.59 USD,+68.26%,0.00%,Health technology,Buy
AENT,Alliance Entertainment Holding Corporation,2.87 USD,−1.03%,14.61 K,0.48,146.25 M USD,12.37,0.23 USD,—,0.00%,Distribution services,—
AEO,"American Eagle Outfitters, Inc.",10.70 USD,−1.38%,6.03 M,0.61,1.85 B USD,6.39,1.68 USD,+94.63%,4.67%,Retail trade,Neutral
AEON,"AEON Biopharma, Inc.",0.5340 USD,−2.73%,237.81 K,0.71,6.04 M USD,0.00,298.98 USD,—,0.00%,Health technology,—
AEP,"American Electric Power Company, Inc.",102.88 USD,+1.06%,1.89 M,0.51,54.96 B USD,19.85,5.18 USD,−3.64%,3.52%,Utilities,Buy
AER,AerCap Holdings N.V.,112.73 USD,+0.57%,1.12 M,0.81,19.9 B USD,10.04,11.23 USD,−26.90%,0.90%,Finance,Strong buy
AERT,"Aeries Technology, Inc.",0.6205 USD,−8.07%,68.32 K,2.04,27.65 M USD,0.39,1.60 USD,—,0.00%,Technology services,—
AES,The AES Corporation,9.99 USD,+3.74%,22.74 M,0.93,7.11 B USD,5.45,1.83 USD,+153.66%,6.94%,Utilities,Buy
AESI,Atlas Energy Solutions Inc.,12.41 USD,−1.12%,1.8 M,0.88,1.53 B USD,40.38,0.31 USD,−76.00%,7.09%,Industrial services,Buy
AEVA,"Aeva Technologies, Inc.",16.05 USD,−0.31%,1.57 M,0.43,883.11 M USD,—,−2.82 USD,+10.38%,0.00%,Electronic technology,Strong buy
AEYE,"AudioEye, Inc.",12.15 USD,−2.80%,83.77 K,0.73,151.37 M USD,—,−0.40 USD,−1.28%,0.00%,Technology services,Strong buy
AFBI,"Affinity Bancshares, Inc.",18.32 USD,−1.35%,11.6 K,1.83,115.71 M USD,20.31,0.90 USD,−3.10%,0.00%,Finance,—
AFG,"American Financial Group, Inc.",121.54 USD,+0.12%,411.47 K,0.99,10.15 B USD,12.76,9.52 USD,−9.00%,2.56%,Finance,Neutral
AFJK,"Aimei Health Technology Co., Ltd",11.15 USD,−0.45%,1.46 K,0.06,68.26 M USD,49.69,0.22 USD,+118.71%,0.00%,Finance,—
AFL,AFLAC Incorporated,102.53 USD,+0.08%,1.64 M,0.83,55.43 B USD,16.00,6.41 USD,−29.33%,2.03%,Finance,Neutral
AFRI,Forafric Global PLC,7.72 USD,−0.13%,15.22 K,1.04,207.68 M USD,—,−0.90 USD,−91.82%,0.00%,Process industries,—
AFRM,"Affirm Holdings, Inc.",49.30 USD,+0.67%,6.82 M,0.59,15.9 B USD,—,−0.22 USD,+90.24%,0.00%,Finance,Buy
AFYA,Afya Limited,18.87 USD,−0.19%,104.66 K,0.63,1.71 B USD,14.56,1.30 USD,+24.83%,0.00%,Consumer services,Neutral
AGAE,Allied Gaming & Entertainment Inc.,2.34 USD,+21.24%,573.45 K,1.01,103.21 M USD,—,−0.27 USD,−144.64%,0.00%,Consumer services,—
AGCO,AGCO Corporation,100.48 USD,−2.09%,744.01 K,0.90,7.49 B USD,—,−7.81 USD,−152.85%,1.15%,Producer manufacturing,Buy
AGEN,Agenus Inc.,3.82 USD,+0.79%,423.01 K,0.43,104.73 M USD,—,−8.68 USD,+31.19%,0.00%,Health technology,Neutral
AGFY,Agrify Corporation,24.01 USD,+9.97%,36.31 K,0.89,46.87 M USD,—,−28.49 USD,+62.63%,0.00%,Producer manufacturing,—
AGH,Aureus Greenway Holdings Inc.,0.5840 USD,−0.68%,42.01 K,0.09,—,—,—,—,—,Consumer services,—
AGIO,"Agios Pharmaceuticals, Inc.",29.80 USD,+0.71%,440.67 K,0.85,1.73 B USD,2.64,11.29 USD,—,0.00%,Health technology,Buy
AGL,"agilon health, inc.",2.22 USD,+0.91%,3.33 M,0.60,918.97 M USD,—,−0.62 USD,−6.14%,0.00%,Health services,Neutral
AGM,Federal Agricultural Mortgage Corporation,182.14 USD,−0.22%,42.89 K,0.90,1.94 B USD,11.26,16.17 USD,−1.42%,3.13%,Finance,Buy
AGMH,AGM Group Holdings Inc.,0.0706 USD,−4.72%,22.19 M,0.51,7.12 M USD,0.55,0.13 USD,—,0.00%,Technology services,—
AGO,Assured Guaranty Ltd.,84.44 USD,+0.58%,395.44 K,1.03,4.15 B USD,10.07,8.38 USD,−35.80%,1.50%,Finance,Buy
AGRI,AgriFORCE Growing Systems Ltd.,1.53 USD,0.00%,161.98 K,0.17,4.38 M USD,—,−2.09 USD,−85.49%,0.00%,Commercial services,—
AGRO,Adecoagro S.A.,9.50 USD,0.00%,285.19 K,0.43,949.93 M USD,15.19,0.63 USD,−73.44%,3.60%,Process industries,Neutral
AGS,"PlayAGS, Inc.",12.25 USD,−0.24%,367.55 K,0.68,508.44 M USD,10.65,1.15 USD,+781.00%,0.00%,Producer manufacturing,Neutral
AGX,"Argan, Inc.",203.26 USD,+3.19%,369.19 K,1.09,2.77 B USD,33.28,6.11 USD,+155.68%,0.70%,Industrial services,Buy
AGYS,"Agilysys, Inc.",101.61 USD,−1.05%,300.58 K,0.75,2.84 B USD,123.34,0.82 USD,−73.87%,0.00%,Technology services,Strong buy
AHCO,AdaptHealth Corp.,8.78 USD,−1.79%,764.69 K,0.80,1.18 B USD,15.47,0.57 USD,—,0.00%,Finance,Buy
AHL,Aspen Insurance Holdings Limited,34.99 USD,+1.33%,95.32 K,0.27,—,—,—,—,—,Finance,—
AI,"C3.ai, Inc.",22.72 USD,−0.04%,4.02 M,0.97,2.94 B USD,—,−2.23 USD,+4.10%,0.00%,Technology services,Neutral
AIFE,Aifeex Nexus Acquisition Corporation,10.10 USD,−0.10%,855,0.03,111.36 M USD,194.23,0.05 USD,—,0.00%,Finance,—
AIFF,"Firefly Neuroscience, Inc.",3.46 USD,+2.98%,195.24 K,0.52,44.5 M USD,—,−3.38 USD,−65.95%,0.00%,Health technology,—
AIG,"American International Group, Inc. New",81.62 USD,−0.49%,3.31 M,1.00,47.04 B USD,18.24,4.48 USD,−33.20%,1.96%,Finance,Buy
AIHS,Senmiao Technology Limited,0.9420 USD,+2.38%,5.54 K,0.29,9.91 M USD,—,−0.33 USD,+27.19%,0.00%,Finance,—
AII,"American Integrity Insurance Group, Inc.",16.54 USD,0.00%,63.38 K,0.38,325.45 M USD,—,—,—,0.00%,Finance,—
AIMD,"Ainos, Inc.",0.4840 USD,+0.64%,255.49 K,0.75,10.05 M USD,—,−1.33 USD,+57.99%,0.00%,Health technology,—
AIN,Albany International Corporation,65.34 USD,−0.65%,172.53 K,0.73,1.97 B USD,26.30,2.48 USD,−30.28%,1.62%,Process industries,Buy
AIOT,"PowerFleet, Inc.",4.82 USD,−14.39%,6.88 M,4.87,638.7 M USD,—,−2.02 USD,−291.62%,0.00%,Electronic technology,Strong buy
AIP,"Arteris, Inc.",7.13 USD,−0.97%,135.31 K,0.51,299.3 M USD,—,−0.82 USD,+20.20%,0.00%,Electronic technology,Buy
AIR,AAR Corp.,59.76 USD,−0.55%,120.98 K,0.64,2.16 B USD,—,−0.37 USD,−121.57%,0.00%,Electronic technology,Strong buy
AIRE,reAlpha Tech Corp.,0.5100 USD,−3.41%,435.45 K,0.11,26.14 M USD,—,−0.60 USD,—,0.00%,Technology services,Buy
AIRG,"Airgain, Inc.",4.14 USD,+2.73%,8.82 K,0.68,48.83 M USD,—,−0.69 USD,+39.81%,0.00%,Electronic technology,Strong buy
AIRI,Air Industries Group,3.58 USD,+2.58%,21.13 K,0.62,13.48 M USD,—,−0.46 USD,+31.48%,0.00%,Electronic technology,Strong buy
AIRJ,AirJoule Technologies Corporation,4.14 USD,−0.72%,109.32 K,0.76,249.38 M USD,4.84,0.85 USD,−79.58%,0.00%,Producer manufacturing,Strong buy
AIRS,"AirSculpt Technologies, Inc.",4.25 USD,+2.16%,350.89 K,0.56,249.81 M USD,—,−0.30 USD,"−1,278.09%",0.00%,Health technology,Neutral
AIRT,"Air T, Inc.",18.30 USD,−1.08%,1.95 K,0.79,49.88 M USD,—,−0.29 USD,+94.32%,0.00%,Transportation,—
AISP,"Airship AI Holdings, Inc",5.12 USD,−3.40%,939.69 K,0.62,163.04 M USD,—,−0.07 USD,−140.89%,0.00%,Technology services,Strong buy
AIT,"Applied Industrial Technologies, Inc.",222.81 USD,−0.19%,272.95 K,0.70,8.49 B USD,22.35,9.97 USD,+4.59%,0.70%,Distribution services,Buy
AIZ,"Assurant, Inc.",196.52 USD,+1.81%,625.28 K,1.10,9.96 B USD,15.32,12.83 USD,−10.47%,1.55%,Finance,Buy
AJG,Arthur J. Gallagher & Co.,338.04 USD,+0.76%,859.46 K,0.92,86.57 B USD,52.00,6.50 USD,+31.67%,0.72%,Finance,Buy
AKA,a.k.a. Brands Holding Corp.,12.67 USD,−3.13%,12.32 K,0.39,135.76 M USD,—,−2.39 USD,+74.06%,0.00%,Retail trade,Buy
AKAM,"Akamai Technologies, Inc.",75.84 USD,−1.61%,1.95 M,0.43,11.09 B USD,25.58,2.96 USD,−26.18%,0.00%,Technology services,Buy
AKAN,Akanda Corp.,1.26 USD,+4.13%,8.51 K,0.51,2.87 M USD,—,−6.47 USD,+98.87%,0.00%,Process industries,—
AKBA,"Akebia Therapeutics, Inc.",2.86 USD,+1.06%,3.11 M,0.63,751.14 M USD,—,−0.22 USD,+2.76%,0.00%,Health technology,Strong buy
AKRO,"Akero Therapeutics, Inc.",46.36 USD,−5.33%,1.77 M,0.83,3.7 B USD,—,−3.75 USD,−17.04%,0.00%,Health technology,Strong buy
AKYA,"Akoya BioSciences, Inc.",1.26 USD,−3.08%,405.41 K,0.20,62.84 M USD,—,−0.96 USD,+34.87%,0.00%,Health technology,Neutral
AL,Air Lease Corporation,56.87 USD,−0.42%,565.37 K,0.55,6.36 B USD,9.96,5.71 USD,+15.24%,1.51%,Finance,Buy
ALAB,"Astera Labs, Inc.",94.62 USD,+0.34%,3.23 M,0.67,15.6 B USD,403.32,0.23 USD,—,0.00%,Electronic technology,Strong buy
ALB,Albemarle Corporation,57.61 USD,−0.57%,2.71 M,0.85,6.78 B USD,—,−11.12 USD,−504.92%,2.80%,Process industries,Neutral
ALBT,Avalon GloboCare Corp.,3.77 USD,−1.82%,6.37 K,0.40,7.14 M USD,—,−5.52 USD,−292.55%,0.00%,Health technology,—
ALCO,"Alico, Inc.",31.34 USD,+0.67%,22.92 K,0.65,239.5 M USD,—,−18.43 USD,−451.44%,0.64%,Process industries,Strong buy
ALCY,Alchemy Investments Acquisition Corp 1,11.50 USD,+0.17%,402,0.10,52.12 M USD,86.73,0.13 USD,−57.85%,0.00%,Finance,—
ALDF,Aldel Financial II Inc.,10.44 USD,+0.38%,1.38 K,0.02,311.82 M USD,—,—,—,0.00%,Finance,—
ALDX,"Aldeyra Therapeutics, Inc.",2.22 USD,−1.33%,705.57 K,0.78,132.97 M USD,—,−0.97 USD,−90.67%,0.00%,Health technology,Strong buy
ALE,"Allete, Inc.",64.98 USD,+0.05%,293.56 K,0.96,3.77 B USD,20.38,3.19 USD,−23.44%,4.38%,Utilities,Neutral
ALEC,"Alector, Inc.",1.24 USD,−5.34%,954.84 K,0.58,123.99 M USD,—,−1.26 USD,+9.21%,0.00%,Health technology,Buy
ALF,Centurion Acquisition Corp.,10.43 USD,−0.38%,535,0.00,374.83 M USD,34.76,0.30 USD,—,0.00%,Finance,—
ALG,"Alamo Group, Inc.",197.02 USD,−0.86%,60.57 K,0.59,2.38 B USD,20.53,9.60 USD,−14.62%,0.57%,Producer manufacturing,Buy
ALGM,"Allegro MicroSystems, Inc.",25.42 USD,−1.89%,1.36 M,0.48,4.7 B USD,—,−0.39 USD,−149.43%,0.00%,Electronic technology,Strong buy
ALGN,"Align Technology, Inc.",170.80 USD,−1.05%,493.93 K,0.64,12.38 B USD,31.08,5.50 USD,−9.45%,0.00%,Health technology,Buy
ALGS,"Aligos Therapeutics, Inc.",5.50 USD,−3.00%,76 K,0.40,33.63 M USD,—,−17.45 USD,−9.47%,0.00%,Health technology,Strong buy
ALGT,Allegiant Travel Company,52.34 USD,−1.23%,247.16 K,0.54,955.45 M USD,—,−11.57 USD,−466.80%,4.59%,Transportation,Neutral
ALHC,"Alignment Healthcare, Inc.",14.48 USD,−0.07%,2.35 M,0.72,2.86 B USD,—,−0.47 USD,+43.50%,0.00%,Health services,Buy
ALIT,"Alight, Inc.",5.39 USD,−2.36%,7.73 M,0.89,2.9 B USD,—,−0.09 USD,+85.84%,1.48%,Technology services,Strong buy
ALK,"Alaska Air Group, Inc.",50.71 USD,+1.20%,2.24 M,0.81,6.16 B USD,18.42,2.75 USD,+46.87%,0.00%,Transportation,Strong buy
ALKS,Alkermes plc,29.35 USD,−2.33%,2.01 M,1.85,4.84 B USD,13.97,2.10 USD,−17.17%,0.00%,Health technology,Buy
ALKT,"Alkami Technology, Inc.",29.02 USD,−0.65%,623.8 K,0.71,2.99 B USD,—,−0.37 USD,+38.37%,0.00%,Technology services,Strong buy
